dashboard_experience,power_bi_experience,confidence,sample,line,user_id,answer_correct,no_of_steps,question_id,timestamp,selected_values,filtered_values,triggered_action,multiplicity,x,y
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,7,5,1656742408857,Year.Year<categorical>,nan,Root,46,5.8665056,-7.27589
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,7,5,1656742417057,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Ethnicity (slicer) - Ethnicity: Group B selected,15,5.5316734,-8.021538
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,7,5,1656742418350,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: East selected,15,6.2445803,-8.852835
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,7,5,1656742433960,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan selected,6,3.9005144,-9.484927
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,7,5,1656742443170,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - deselected,15,6.2445803,-8.852835
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,7,5,1656742520273,"NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>","New Hires by Month (Full-Time/Part-Time) (lineChart) - Month: May, Jun, Jul, Aug, Aug. FPDesc: Full-Time, Full-Time, Full-Time, Full-Time, Part-Time selected",1,6.7207136,-9.801527
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,7,5,1656742568497,"NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Year (slicer) - Year: 2012 selected,1,-3.0136867,7.489768
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,18,5,1656682803909,Year.Year<categorical>,nan,Root,46,5.8665056,-7.27589
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,18,5,1656682808763,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Ethnicity (slicer) - Ethnicity: Group B selected,15,5.5316734,-8.021538
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,18,5,1656682812251,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: East selected,15,6.2445803,-8.852835
